testcase,loc,median_elapsed_time,median_power,median_energy_consumed
com.google.gson.JsonArrayTest#testGetAs_WrongArraySize,19,16.049331,11.928638,191.324615
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateParseWithTimezone,8,15.950701,11.867999,189.287979
com.google.gson.graph.GraphAdapterBuilderTest#testDeserializationDirectSelfReference,9,15.751531,11.87051,186.891846
com.google.gson.GsonBuilderTest#testCreatingMoreThanOnce,15,16.031292,11.879659,190.403
com.google.gson.stream.JsonReaderPathTest#arrayPath,35,15.894775,11.865802,187.950409
com.google.gson.GsonBuilderTest#testTransientFieldExclusion,4,16.080376,11.828744,189.986481
com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeGenericArraysSerialization,12,16.195323,11.924093,192.376633
com.google.gson.JsonArrayAsListTest#testSize,8,16.044197,11.907269,189.541245
com.google.gson.TypeAdapterTest#testFromJson_Reader_TrailingData,3,15.99664,11.864449,189.878265
com.google.gson.functional.VersioningTest#testVersionedClassesDeserialization,11,15.891525,11.848893,188.358215
com.google.gson.JsonArrayTest#testDeepCopy,11,15.997543,11.817105,189.584229
com.google.gson.internal.JavaVersionTest#testJava7,3,15.978767,11.890526,190.524231
com.google.gson.functional.ParameterizedTypesTest#testDeepParameterizedTypeSerialization,6,16.170356,11.919683,192.805832
com.google.gson.JsonObjectAsMapTest#testValues,18,15.8626,11.861809,188.159134
